metadata,category
hov:lanes:forward,lanes
hov:minimum,other limits
hov:minimum:lanes,lanes
hov:minpeople,other limits
hov:toll,tolls
hundred:block,other
hundred:direction,other
ice_road,winter
id,other
iis,other
image,other
image_direction,other
imagery_used,other
impassable,other
implicit,other
import,other
import_source,other
importuuid,other
in_a_junction,other
in_service,other
incline,basic
incomplete,other
indoor,other
industrial,other
informal,other
information,other
injunction,other
inline_skates,other
inline_skates:conditional,other
inscription,other
inside,other
int_name,names
int_ref,other
intermittent,other
internet_access,other
internet_access:fee,other
internet_access:operator,other
internet_access:ssid,other
intersection,other
is,other
is_in,address
is_in:borough,address
is_in:city,address
is_in:country,address
is_in:country_code,address
is_in:county,address
is_in:hamlet,address
is_in:iso_3166_2,address
is_in:locality,address
is_in:micronation,address
is_in:municipality,address
is_in:neighbourhood,address
is_in:postal_code,address
is_in:province,address
is_in:state,address
is_in:state_code,address
is_in:subdivision,address
is_in:suburb,address
is_in:town,address
is_in:township,address
is_in:village,address
islet,other
jams,other
jumping,other
junction,basic
junction:fut_ref,basic (detailed)
junction:name,names
junction:name:lanes,names
junction:noname,names
junction:noref,basic (detailed)
junction:old_ref,basic (detailed)
junction:ref,basic (detailed)
junction:ref:backward,basic (detailed)
junction:ref:forward,basic (detailed)
junction:ref:lanes,lanes
junction:unsigned_ref,basic (detailed)
junction_ref,basic (detailed)
keep_clear,other
kerb,other
kerb:both,other
kern:Comb_Zn,other
kern:Zn_Cd1,other
key,other
